Valor:;Taxa D0:;Taxa D1:;Taxa D2:;Taxa D3:;Taxa D4:;Taxa D5+:
659.0;0.0;0.0;0.0;0.0;0.0;0.0
686.0;0.1;0.0;0.0;0.0;0.0;0.0
718.0;4.2;1.3;0.9;0.4;0.0;0.0
739.0;7.3;4.4;2.6;0.7;0.0;0.0
814.0;8.2;5.3;3.5;2.6;0.7;0.0
922.0;10.4;7.6;6.7;3.9;3.2;1.3
1005.0;11.6;8.9;8.1;5.3;4.5;3.2
1065.0;12.4;9.8;8.9;6.2;4.9;4.0
1143.0;13.5;11.7;10.9;8.2;7.3;5.5
1225.0;14.5;12.8;11.8;9.2;8.3;6.5
1321.0;15.6;14.8;13.0;11.0;9.3;8.4
1424.0;16.6;15.8;14.0;12.2;10.3;9.5
1562.0;17.7;16.9;15.0;13.2;11.4;10.5
1711.0;19.1;18.3;16.6;14.7;13.8;12.0
1870.0;20.5;19.9;18.2;16.5;15.7;13.9
1977.0;21.5;21.0;19.1;17.4;16.6;14.9
2090.0;22.5;22.0;20.2;18.3;17.6;16.8
2218.0;23.5;23.0;21.3;19.5;18.5;17.9
2367.0;24.5;24.1;23.3;20.5;19.7;18.8
2535.0;25.5;25.1;24.3;21.6;20.8;20.0
2767.0;26.5;26.0;25.3;22.6;21.8;21.0
3104.0;27.8;27.3;26.5;23.8;23.0;22.2
3534.0;29.4;29.3;28.9;26.5;26.1;25.7
4118.0;30.5;30.5;29.9;28.5;27.1;26.7
4650.0;32.3;32.0;31.6;29.9;28.6;28.2
5194.0;33.3;33.0;32.6;31.2;30.5;29.2
5880.0;34.3;34.0;33.6;32.2;31.8;30.1
6727.0;36.3;36.1;35.5;34.8;34.6;34.4
7939.0;37.3;37.1;36.9;35.8;35.6;35.4
9560.0;39.3;39.1;38.9;37.8;37.6;37.4
11282.0;40.3;40.1;39.9;39.2;38.6;38.4
18854.0;41.3;41.1;40.9;40.2;40.0;39.4
20221.0;42.3;42.1;41.9;41.2;41.0;40.4
22749.0;43.1;43.1;42.9;42.2;42.0;41.6
25276.0;44.1;44.1;43.9;43.2;43.0;42.8
25276.0;45.1;45.1;44.9;44.2;44.0;43.8
